"","omega","alpha1","beta1"
"BM",5.9120275808047e-07,0.00175985424397028,0.0333625004004377
"rugarch",9.61163980336322e-08,0.0186822680767494,0.0417303526535133
"QML",0.000292075067221774,0.0203392544427466,0.600402530006613
"True Value",0.00039,0.144,0.776
