"","omega","alpha1","beta1"
"BM",0.11453281853491,0.0161702883544617,0.00992166162356462
"rugarch",66.8859460122442,0.141558713099149,0.161843473800076
"QML",204.613637620497,0.118967798119833,0.14362170370817
"True Value",1,0.5,0.4
