"","omega","alpha1","beta1"
"robGarch BM",2.56898123439297e-06,0.00230342350885832,0.0546288954130617
"rugarch STD",6.82855473219527e-08,0.0011100336999439,0.00198105636163483
"rugarch QML",1.00566888033154e-07,0.00110668514109185,0.00263069061753645
"robGarch QML",1.26982676554121e-07,0.00108206763734073,0.00281049699476733
"robGarch M",1.353249828306e-07,0.00169433668146132,0.0049072365223129
"True Value",0.000245,0.103,0.867
