"","omega","alpha1","beta1"
"BM",2.52525627208303e-06,0.00469588491214642,0.10901724981197
"rugarch",2.65491638392069e-06,0.044760619747135,0.103683971078997
"QML",4.79635578290145e-05,0.0769960393535081,0.35559362304238
"True Value",0.000876,0.135,0.686
