"","omega","alpha1","beta1"
"BM",2.32155521243258e-07,0.00281905575455492,0.0158315378595578
"rugarch SkewedT",2.32408590159777e-07,0.00301020740606759,0.0128773482449919
"rugarch",3.19926153823524e-07,0.00851374107752102,0.0239240990883357
"QML",1.88247177516037e-06,0.00742306375245446,0.0622071663625266
"True Value",0.00039,0.144,0.776
