"","gamma","alpha","beta"
"robGarch BM",4.87497323848756e-07,0.0013137038875396,0.0143572278572143
"rugarch STD",2.06972277451949e-08,0.000545344660903287,0.00110585176799276
"rugarch QML",2.07194639360573e-08,0.000543758917792431,0.00110593135488188
"robGarch QML",2.04304895667323e-08,0.000546955506608236,0.00108493712254273
"robGarch M",4.002434533912e-08,0.000820066892317284,0.00201737785265252
"True Value",0.000245,0.103,0.867
