"","omega","alpha1","beta1"
"BM",5.76563808012749e-07,0.00298796291713001,0.0313513942525343
"rugarch SkewedT",7.02389770087083e-07,0.00527171466766771,0.0254264989812758
"rugarch",7.37092297208558e-07,0.0155080886077602,0.0413427187702967
"QML",5.63956355212008e-06,0.0148582285864871,0.139021419764289
"True Value",0.00039,0.144,0.776
