"","omega","alpha1","beta1"
"BM",7.09666670784148e-07,0.00314589246621383,0.0357347297689007
"rugarch",9.21332057720062e-07,0.0182450926403261,0.0973695916857826
"QML",0.000106989973459278,0.0179463533594434,0.468742863509996
"True Value",0.000876,0.135,0.686
