"","omega","alpha1","beta1"
"BM",1.84009982492824e-06,0.00220737324166046,0.0440061681347785
"rugarch SkewedT",4.73520012555057e-07,0.00269109233213861,0.00790066411844175
"rugarch",9.40493574163344e-07,0.00751428735028395,0.02013332478738
"QML",2.03262486323751e-06,0.00838298983966649,0.0323620630592933
"True Value",0.000245,0.103,0.867
