"","omega","alpha1","beta1"
"robGarch BM",2.85127500332991e-07,0.00291122228489956,0.0191383356529671
"rugarch STD",2.89597536206566e-07,0.00415608232314297,0.0141867214776569
"rugarch QML",3.90044829531935e-07,0.00828479840761554,0.0243873984100918
"robGarch QML",5.6379456434204e-07,0.0064084966674133,0.0253512603635307
"robGarch M",2.86892492764772e-07,0.00398117831889617,0.0198090766655488
"True Value",0.00039,0.144,0.776
