"","omega","alpha1","beta1"
"BM",7.98419419739849e-07,0.00183608389552821,0.0214044142358724
"rugarch SkewedT",1.88471041501258e-07,0.00151755315581583,0.00459866729796313
"rugarch",4.00587702314158e-07,0.00423609670792867,0.0117506080968147
"QML",6.4049974418966e-06,0.00500060470882114,0.0851583224259994
"True Value",0.000245,0.103,0.867
