"","omega","alpha1","beta1"
"BM",7.00623800651469e-07,0.00315792923239936,0.0397549741865989
"rugarch SkewedT",2.87859341435844e-06,0.0151514578727729,0.0665171829742551
"rugarch",2.57759155785646e-06,0.0569298265578533,0.0774687899330203
"QML",3.68700665502315e-05,0.0891792794631854,0.367738238833712
"True Value",0.00039,0.144,0.776
