"","omega","alpha1","beta1"
"robGarch BM",2.65726591044197e-07,0.00280097016827011,0.0169194892906307
"rugarch STD",5.89230909006769e-08,0.00160605090119165,0.00445956558609877
"rugarch QML",6.596850528665e-08,0.00161695719945855,0.00492594250614516
"robGarch QML",8.01703698486529e-08,0.00156573808434734,0.00527208859083028
"robGarch M",9.6909294667953e-08,0.00202716061789918,0.00815430696974678
"True Value",0.00039,0.144,0.776
