"","omega","alpha1","beta1"
"BM",0.0603335334934183,0.00695970992728585,0.00532571858583641
"rugarch",0.296187711421705,0.0171440823253258,0.0102387255796044
"QML",0.384191230622053,0.0168300337365805,0.0105566808549689
"True Value",1,0.5,0.4
