"","omega","alpha1","beta1"
"BM",7.25033679283943e-06,0.00718532858689266,0.225672119291193
"rugarch",1.38841489735638e-06,0.0147047328355473,0.0875763866777921
"QML",2.37609542609269e-05,0.00888060950553244,0.319641468652926
"True Value",0.000876,0.135,0.686
