"","omega","alpha1","beta1"
"BM",1.19322032848829e-06,0.00355855380750464,0.0550862931685483
"rugarch",7.55705323153363e-07,0.0119844153245343,0.0598471451326443
"QML",6.17753738550717e-06,0.00898655647170294,0.152278310481844
"True Value",0.000876,0.135,0.686
