"","omega","alpha1","beta1"
"BM",1.85695267379108e-05,0.0137120191648105,0.304518897968124
"rugarch",1.35692969844892e-06,0.0160867507293732,0.0891978665133619
"QML",7.06990464585831e-05,0.0158043630553398,0.460509577238654
"True Value",0.000876,0.135,0.686
