"","omega","alpha1","beta1"
"BM",8.10990716175591e-07,0.0018775170007418,0.0215473835202248
"rugarch SkewedT",1.87686181912204e-06,0.00454622863450299,0.0278880021092453
"rugarch",2.92314030668104e-06,0.036936898373447,0.0601795623343366
"QML",3.52594413735656e-05,0.0492059968600509,0.282889212651869
"True Value",0.000245,0.103,0.867
