"","omega","alpha1","beta1"
"BM",1.78494989448006e-07,0.00199084526112518,0.013833482805847
"rugarch",1.53676830723789e-06,0.019708745217146,0.0548969382191975
"QML",9.72317911520686e-05,0.023469558034193,0.566371051960946
"True Value",0.00039,0.144,0.776
