"V1","V2","V3"
0.0041135631892874,2.8867106492542e-09,3.23174611280837e-05
0.00368164545410757,0,0.2
0.0041326178949263,2.66988125622553e-08,6.48098607467744e-06
0.00474734798097609,7.42511220767538e-09,4.3564864274704e-06
0.000565929880838069,0.0241508558413657,0.831416630867819
0.00644126332535257,0,0
0.00466693631460689,1.25731236257435e-08,9.27062127316031e-06
0.00467782643780617,0,0
0.00560168193679574,0,0
0.00365939966198167,3.22816506970909e-08,0.134597523324118
0.00516600694468591,0,0
0.000309168307067919,0.0165051425087427,0.916195115149669
0.00347083514030638,3.13226004799927e-08,0.202880031244917
0.00339636235467207,0,0.2
0.00408210839349476,1.75523054694223e-08,0.0102891328285056
0.000826082427363629,0.0299896134280429,0.795853457702542
0.00496053951447618,0,0
0.00595528298796775,0,0
0.00434910565719565,3.54806568894993e-08,5.43471757595436e-06
0.0035230043947773,2.36480420736629e-22,0.202331214037353
0.00584486196800987,0,0
0.00103919594938903,0.0695089876257151,0.629415962115256
0.00489327417026094,0,0
0.00235265194525621,0.0975483857728233,0.41443721981735
0.00524488632019888,2.35285267075297e-09,5.54498307421605e-06
0.0050691036082164,0,0
0.00512678436185459,0,0
0.00473766899611701,0,0
0.0031449543889654,0,0.4
0.00343273733819604,0.0388268217892442,0.109010941433756
0.00572044355451645,0,0
0.00475172842972743,2.53786147000737e-08,4.64100389042494e-06
0.00499556220523809,0,0
0.00571275777051904,0,0
0.00509307410835478,0,0
0.00021429472639804,0.00759092855067009,0.937906869421985
0.00597288398959404,0,0
0.00573585665450978,0,0
0.00475942411337796,0,0
0.00489644344978042,0,0
0.00590304739358246,0,0
0.0057338995574179,0,0
0.00188881309101871,1.73551370559578e-13,0.527382280518659
0.00654283211935311,0,0
0.00379006779713332,1.89842436777913e-09,1.22257299146191e-05
0.00510576520664682,0,0
0.00551520361525595,0,0
0.00226422634586191,0.0710767409384454,0.452811004801478
0.00323809530154079,0,0.4
0.00381963812399316,0,0.2
0.00360869994081073,0.313308184748852,8.22331761020995e-20
0.00369058194173555,0.2,0
0.00456558346905394,0.00449079477030765,0.00081476169183758
0.00643876199154976,0,0
0.000281130994207705,0.0424464632146966,0.874121402030111
0.000325305801176556,0.0312194041844537,0.876858871184619
0.00503890899543881,0,0
0.00539153439430848,0,0
0.00501843918271921,0,0
0.0051599524639719,0,0
0.00420017906286855,0.2,0
0.00473527807793946,0,0
0.00551518153569171,0,0
0.00152832594146547,0.0147159176186752,0.615589147910143
0.00512514408613509,0,0
0.00546245970136757,0,0
0.00519367395515688,0,0
0.00486094624925805,0,0
0.00547295266045874,0,0
0.00452222617073146,1.2667049310307e-08,1.31189428563028e-05
0.00469941294815477,0.0102712470103486,6.59295541335322e-06
0.00336887730846703,1.01167399548371e-21,0.202346145080917
0.00514228509560514,0,0
0.00567885687718638,0,0
0.00137667974294866,0.0207140176720044,0.706809368499922
0.0043764529753499,0,0
0.000743063528201358,0.035112362812466,0.836552808754823
0.00554700744473771,0,0
0.0048561597314843,0,0
0.0036923947148803,7.38477264340136e-10,1.39070983914629e-05
0.00468747642303389,0,0
0.00448356306108464,0,0
0.000363249230994419,0.0173609440177948,0.87442125320378
0.00482028916667568,0,0
0.00509277913712165,0,0
0.005085410011081,0,0
0.00568231116316151,0,0
0.00515347582636906,0,0
0.00165389241272369,3.38564757909017e-20,0.581025258397535
0.000341290399005843,0.0661290958246403,0.822040641948924
0.000474221079636004,0.0301271138055412,0.822478951791563
