"","omega","alpha1","beta1"
"robGarch BM",3.76117773752757e-06,0.00239089105852839,0.0840034268711736
"rugarch STD",4.40573538013941e-07,0.00352697981595428,0.00647772663237717
"rugarch QML",1.36201601741621e-06,0.00606731745887276,0.0188316706383596
"robGarch QML",2.45418320805211e-06,0.0062095168737206,0.0283304258275274
"robGarch M",7.52781141884346e-07,0.00452853318359764,0.0205794994818508
"True Value",0.000245,0.103,0.867
