"","omega","alpha1","beta1"
"BM",1.58123343709023,0.0230474837984914,0.0282666798911723
"rugarch",7.74177388696464,0.0275645350403253,0.0333581290250999
"QML",13.5597929533955,0.0431873189336313,0.0568661399695781
"True Value",1,0.5,0.4
