"","omega","alpha1","beta1"
"BM",0.0903651909912739,0.00823894715103045,0.0076044352109722
"rugarch",17.2330136389212,0.14203686086124,0.139154893064695
"QML",35.5126553514323,0.108679221903345,0.102766106495044
"True Value",1,0.5,0.4
