"","omega","alpha1","beta1"
"robGarch BM",0.0870353562736374,0.00773847179919358,0.00655804929172869
"rugarch STD",0.246242388080233,0.00806133597213949,0.00728866437444418
"rugarch QML",0.224934846191375,0.00815562671216576,0.0061846597275098
"robGarch QML",0.227655042897222,0.0078371465346147,0.00600500910758405
"robGarch M",0.155374607930216,0.00935759176266142,0.00854308863024072
"True Value",1,0.5,0.4
