"","omega","alpha1","beta1"
"BM",1.94798523887574e-06,0.00397808106394051,0.0841261397613556
"rugarch",1.07398002453289e-06,0.016077152527194,0.0774489342490463
"QML",1.33572056782908e-05,0.0144525482496009,0.236291340399191
"True Value",0.000876,0.135,0.686
