"","omega","alpha1","beta1"
"BM",3.65815892828636e-06,0.0045951469602064,0.132534804578911
"rugarch",6.8478065891525e-07,0.0181489952190463,0.0962783249174481
"QML",0.000284708874037916,0.018225,0.470596
"True Value",0.000876,0.135,0.686
