"","omega","alpha1","beta1"
"BM",0.071424787392879,0.00686810994377856,0.0059875092839533
"rugarch",6.82385041945392,0.109025414398305,0.105199425629745
"QML",15.1688139209089,0.0759869540395042,0.0713566016231934
"True Value",1,0.5,0.4
