"","omega","alpha1","beta1"
"robGarch BM",1.10884236779396e-06,0.00195067915023007,0.0274287296813688
"rugarch STD",2.13939572643892e-07,0.0019153705664389,0.00467668249214174
"rugarch QML",5.33573507835647e-07,0.00390943379512209,0.0128551365749867
"robGarch QML",6.88206883798661e-07,0.00375684450617538,0.0151363417248932
"robGarch M",3.01328614229963e-07,0.0024396438455786,0.00986071161777504
"True Value",0.000245,0.103,0.867
