"","omega","alpha1","beta1"
"robGarch BM",6.6533378278702e-07,0.00338180905092435,0.0355265909716838
"rugarch STD",1.18022180933621e-07,0.00212551345638536,0.00624249612972259
"rugarch QML",1.54616177617244e-07,0.00224580331308822,0.0083653973400644
"robGarch QML",1.84085311984155e-07,0.00189585898977442,0.008569262996012
"robGarch M",1.21538772979123e-07,0.00310943403725197,0.00939076830969409
"True Value",0.00039,0.144,0.776
