"","omega","alpha1","beta1"
"BM",2.02678063906151e-07,0.00285588442376846,0.0156950716237937
"rugarch SkewedT",1.63777339944471e-06,0.00870152864350593,0.0571563651989841
"rugarch",1.49792250734121e-06,0.0510067027279891,0.0764183262555863
"QML",1.32584299293891e-05,0.0566287474317243,0.250256521966888
"True Value",0.00039,0.144,0.776
