"","omega","alpha1","beta1"
"robGarch BM",9.08715081856257e-07,0.00337517589919364,0.0527641843450496
"rugarch STD",7.10662502694957e-07,0.00811493845592304,0.0250091500332154
"rugarch QML",1.0394423788671e-06,0.0124788460522062,0.041666296804196
"robGarch QML",2.13590720516674e-06,0.0112247259455667,0.055389132460438
"robGarch M",NA,NA,NA
"True Value",0.00039,0.144,0.776
