"","omega","alpha1","beta1"
"BM",2.68671802665256e-06,0.00467094636964674,0.111765808720852
"rugarch",1.04895141195282e-06,0.00786658982842397,0.0356099284120606
"QML",1.02163108823704e-05,0.00708815709170322,0.186735323949072
"True Value",0.00039,0.144,0.776
