"","omega","alpha1","beta1"
"robGarch BM",9.19011609763924e-07,0.00180956291167292,0.0238623392477805
"rugarch STD",4.44380279454657e-08,0.000804875492601301,0.00164291037707815
"rugarch QML",4.74263820505131e-08,0.000838115235877677,0.0017689718739197
"robGarch QML",4.74150775794802e-08,0.000860424155955743,0.00172439026284574
"robGarch M",6.45443600149289e-08,0.00120984090761317,0.00275900258896214
"True Value",0.000245,0.103,0.867
