"omega","alpha1","beta1","shape"
0.000474066036726253,0.116250142618045,0.765314816074413,5.78580033474205
0.00064119366821587,0.154456296947274,0.722614952154887,5.64013952096878
6.0696182127699e-06,4.92624183367888e-08,0.99899994532773,4.18604550790003
0.000592151202983053,0.104069613488824,0.762005491896223,4.47601829521175
0.000630379062141343,0.174191083672883,0.673806870715703,6.16120701324585
0.000465014776740158,0.0964097651362071,0.795372692782261,4.77532153078439
0.000527815509976506,0.211479522107891,0.703137155480356,5.55025193182966
0.000605849278429762,0.148405249485227,0.751491496319488,4.57752125726316
0.000243338729930646,0.0619467707645282,0.863055309515573,4.80330453079924
0.000260078537564709,0.132253161394932,0.820112670729303,6.08248866085079
0.00064112678732053,0.160354803421986,0.728864524269425,4.23180308925767
0.000304972277446819,0.111757563605183,0.807620229314443,5.68099380824403
0.000299542473513085,0.0516938964874671,0.875488120734847,5.09360976070831
0.000556046164684346,0.168550934348214,0.731991599509739,4.24477247276402
0.000560577384908106,0.139866151321225,0.728881824263187,4.92435692979983
0.000171973083487881,0.0557048446853258,0.908611253277168,4.44892913234354
0.000623510633575194,0.171317577722765,0.738534424282144,3.92991175600249
0.000296189662918257,0.150415965570918,0.786920586437523,5.59476845786633
0.000666492377035412,0.113957178864954,0.717093586409582,5.93650125260081
0.00026560794413815,0.092453641789858,0.843747956423692,4.54621034934199
0.000857718209712399,0.153281873499431,0.626746915494311,8.82531005214723
0.000414228318066301,0.139554699922518,0.755759679278667,6.57961535782219
0.000459195459767747,0.154077644239487,0.76589537262473,4.71354303362216
0.000236379819350838,0.127204360968815,0.825071938850495,4.56897285637789
0.000347632527983498,0.125823430097572,0.815945276636508,4.29350143694979
0.000602278356368785,0.225483750386049,0.676521910694333,4.49734327052626
0.000445864905119348,0.137464152821048,0.796867695889567,4.20741778577188
0.000591548273429497,0.154018124820963,0.720456117442362,5.6132361390279
0.00042638370680742,0.106038842904198,0.820948370038562,4.40351838378022
0.000549445339282201,0.114190144728899,0.733634268847618,5.35735698728541
0.000862243133864206,0.171203312815703,0.703531548090757,3.55392895741274
0.000253781744921555,0.101920230557817,0.847748940928445,6.43585563025676
0.000359733628058818,0.153447232654611,0.778250840906869,7.06249713906537
0.00064018418854108,0.126694613958172,0.733739474988048,5.4406279778564
0.000528060126792207,0.12454346959355,0.787681023106861,4.15312581267072
0.000488473647897151,0.124992526189291,0.756736391827745,5.75653453778194
0.000381503130664126,0.202205809006086,0.756698785227727,4.32195537224362
0.000445039814134804,0.136532251146708,0.754768918230512,5.37768099886533
0.000609142678440536,0.21346326845674,0.707896494159151,4.54948773535311
0.000510461803348825,0.169586683727444,0.721224642779211,5.629226993838
0.000299510402524584,0.141846806838763,0.794751219609978,5.82935214556891
0.000236786142021946,0.136000674215238,0.83260588927438,4.93329276478864
0.000612194464103996,0.119194148814315,0.734264346934799,4.98322065666478
0.000272971056714508,0.124894074600527,0.821550313874926,5.10804788910259
0.000659821566921755,0.2539152793078,0.694868909296254,4.17110150896936
0.000200202079581327,0.11776509975569,0.8509286852277,4.89291049223577
0.000377287795459364,0.122198117368095,0.763087535237633,6.43903100909813
0.000361163047071031,0.186057098264867,0.754302483820634,4.87298579567216
0.000447939340555362,0.147618558430729,0.766603307638358,5.26322932226398
0.000645260663914425,0.139338860424338,0.711680761181684,5.26334991926532
0.000861550710035702,0.159140332580664,0.642341660492758,6.35500043092694
0.000203871310563268,0.0825072470889466,0.857409389003909,5.63977852937619
0.00020025251452333,0.10172155895295,0.848054559637452,5.76473418882752
0.000285595883218,0.120935642385178,0.815866163646297,5.6449208059037
0.00047477816635982,0.170036071998602,0.750311315503297,4.27355229317819
0.000831356291417738,0.114507567021315,0.693995314054952,5.27665297121862
0.000468787998635316,0.172221195302825,0.721397576590353,5.9250684207972
0.000436423022238949,0.114599850845108,0.793715579304515,4.71173468850478
0.000502691225460664,0.112270918277936,0.760716035513503,5.76184614572673
0.000571081992196764,0.219196075807309,0.651039455230391,4.81908872481568
0.000520818593767187,0.153686409759142,0.75206158581144,4.96945347172758
0.000347761650962114,0.0560138207455538,0.821515207979356,5.82530672109779
0.000312025757984012,0.166174107956348,0.757569750680069,5.72106218232333
0.000579305866236377,0.189425143677392,0.722016295213879,5.20601807031181
0.00118753242505343,0.223489146539248,0.577100590998045,3.92791807956242
0.000418195816473701,0.12799357454557,0.806116577718747,3.68203246847906
0.000404245596323501,0.135554617146934,0.774231569254239,6.27646811238786
0.00106172366470475,0.236887026407177,0.569192647915225,5.55632096595683
0.000532844290603549,0.123171587723257,0.721582346135751,5.05056102697928
0.000626696292925772,0.158463580735303,0.694694409197806,5.06192505221795
0.000474382166308944,0.198465403893692,0.733564134712737,4.4071187777287
0.000559649902501258,0.164061154580617,0.754504827276287,4.35468005210405
0.000516499235263706,0.190754858588278,0.707098288192805,5.39248874559306
0.0004819783204172,0.160737255510105,0.706386335006507,5.5446268465142
0.000361388490499122,0.124046317810788,0.790802910990262,5.877732649213
0.000672411451441359,0.219622419498302,0.687522801765385,4.34104078909006
0.00119537498694882,0.124614904591218,0.52886574521931,5.5283585273318
0.000465043536685306,0.117954109071826,0.753431374799201,5.50753218748541
0.000601587509056706,0.171971069673729,0.675933416213046,5.93128666236021
0.000468936993720402,0.118734972028333,0.726508805519834,6.03816877622698
0.00028058488618786,0.0628514835298441,0.856802353082655,5.28993647448761
0.000319411025684993,0.143173109078192,0.776395085721795,5.70601707645034
0.000357684791869099,0.162640394064451,0.769632512779638,4.47377403582828
0.000198464673168508,0.103496395349273,0.850178539014118,5.30388774265009
0.000464776638168825,0.164462364287338,0.706419781126671,5.63715827071073
0.000670735696680368,0.221505824104418,0.647801353982625,6.14939116648091
0.000542907286148455,0.133896938757251,0.759023751389796,4.26771150190448
0.00046843553538362,0.105003545154186,0.761323101402898,6.81294450698452
0.00030764533359235,0.100358135556256,0.816558072132022,5.58180813464025
0.000659523803516389,0.188103196410441,0.707485709548392,5.10128833900678
0.000360753173714012,0.146661268868322,0.791598631884948,4.6852285659977
0.00022900348056172,0.0813264187565282,0.862805766987947,5.15950219484942
0.00046327171819892,0.081926754276088,0.787454257070519,5.44760277773223
0.000433549850225702,0.121214792434309,0.802160753616808,5.01574612061584
0.000403881780559358,0.133716384660914,0.783717582522605,4.37398288641178
0.000392104224220561,0.170451245004907,0.742152073145124,5.34576492971212
0.000401071029519971,0.165532184744751,0.774275787991004,4.28547495194562
0.000360955335338656,0.151841514452894,0.779235769968073,4.46270426973967
0.000311906854174571,0.166663703200057,0.771049116474074,5.20270231283563
0.000876963212626123,0.200031021983046,0.601773510568489,5.06703899492559
0.000435036600264412,0.138273790271959,0.775251433067582,4.53743668771061
0.00105520396222579,0.196554023609935,0.614144151947162,4.20129362738606
0.000278302133104743,0.107979997359434,0.840111524308882,4.56611265448534
0.000515483678610582,0.174457201834664,0.757860530988205,4.27322913573091
0.0002739882718114,0.17031212096203,0.809840818439908,4.4048186233811
0.000316371198890951,0.144625808385195,0.799929380384828,4.84666308757607
0.000264050140102853,0.0893825310982666,0.850519039037839,4.82043037897816
0.000252777823768268,0.14525076591386,0.795014054517126,7.61574501177149
0.000485613877697475,0.114750494282222,0.74090639997863,5.9100587555717
0.000557039954003591,0.187262046186911,0.710167363528859,6.12313334860264
0.000419544302629468,0.134998833421352,0.781795400953826,4.41028246898183
0.000580104901831073,0.210678675565319,0.680126818639191,5.06858264803604
0.000493790560242275,0.159180296833497,0.736054687921067,6.92561962347278
0.000278977900280439,0.0921527404179842,0.836248780977501,4.32024970625786
0.000556906574572346,0.133859894430604,0.742335356984424,5.09829336412059
0.00045139122939192,0.106194497974516,0.795459741532651,5.06336716520102
0.000345707008993924,0.231824290320009,0.715322429433919,5.04386374214754
0.0004151606006024,0.109164977545255,0.787019540111432,6.96658983936246
0.000736864384422255,0.154525759399368,0.667092945925468,7.07577903566956
0.000307655157029789,0.163142520010237,0.779351319502461,5.62150390868029
0.000605065906472463,0.173047390404398,0.691430893945774,4.55004082588116
0.000181082749998614,0.0882212098177234,0.867112533136176,5.19292341370384
0.000672216041021037,0.168607988638594,0.711996382252279,5.47178625155624
0.000445939554634713,0.144430240518537,0.733773640186779,5.40842346391929
0.000311910305139742,0.16007699716411,0.787136072273465,5.38746172014098
0.000274504220692577,0.113110368186012,0.822958451979117,5.31415302333425
0.000347242327846191,0.125223935031549,0.811415769292886,4.78252369715443
0.000663497745348412,0.1670331833553,0.700639037970982,4.39778542884413
0.000420430826246826,0.181637329968688,0.731176168686728,4.62467387841348
0.000456248933361089,0.205686140637382,0.723545740276306,4.48860862252788
0.000304561091751421,0.186962084293973,0.757110265740887,5.36667352738171
0.000684769081220005,0.154021515563556,0.714887145760874,5.28919887779587
0.000391048829978009,0.0847693371160608,0.81048369268592,5.55681411888136
0.000311209527798357,0.136837185831049,0.814283367766388,3.86883894746841
0.000279756340245924,0.0729054456290107,0.872551023420906,5.2795948154928
0.000508949915228704,0.153201306437807,0.7439143745798,5.00373789869491
0.000464877071416019,0.164941640568458,0.747619889247801,4.4759665954766
0.000293244635335618,0.141364938257517,0.791635434818295,6.03587078192541
0.000445795589902949,0.19980483050651,0.714304306950962,5.4510385056064
0.000344322648699807,0.16662686118538,0.781415118901201,4.10454864505216
0.000279978844633474,0.149531536552464,0.811051833304974,4.74279918229671
0.000509844444959129,0.180481032915111,0.681786837558649,5.42832832363983
0.000601111696975339,0.172833704139414,0.741394486843113,4.11202245962756
0.000273731578941186,0.129531307137971,0.817389435510464,5.03443045646295
0.000598347687308382,0.149286464428851,0.748782233017324,4.15843906277571
0.000381435924681751,0.223659328148394,0.706720042936382,5.39708293324463
