"","omega","alpha1","beta1"
"BM",2.80106496735239e-06,0.00236906477518142,0.0659187415296614
"rugarch SkewedT",3.24576705685924e-06,0.00766357623575313,0.0289227291988894
"rugarch",6.30939260567474e-06,0.0443003070510345,0.0658805027516197
"QML",2.0319741874962e-05,0.0636658196801381,0.135330272038142
"True Value",0.000245,0.103,0.867
