"","gamma","alpha","beta"
"robGarch BM",9.01959558898026e-08,0.0018336596000247,0.00784929662244152
"rugarch STD",2.83752229523187e-08,0.000985969669710245,0.00288816239672402
"rugarch QML",2.81706743722363e-08,0.000987737353535122,0.00288974958562849
"robGarch QML",2.70348732878637e-08,0.000921318372027758,0.00262304992651554
"robGarch M",4.7126739973699e-08,0.00148221028538727,0.00496253341184673
"True Value",0.00039,0.144,0.776
