"","omega","alpha1","beta1"
"BM",1.34288712707075e-06,0.00365953341543481,0.0609198006499744
"rugarch",1.86342033030505e-06,0.0452025188784773,0.102544407394031
"QML",2.09674543436936e-05,0.0550849124019627,0.301763224606933
"True Value",0.000876,0.135,0.686
