"","omega","alpha1","beta1"
"BM",1.26334623027232e-05,0.0111807446020825,0.26492977270674
"rugarch",4.61295155091665e-07,0.0116417827972155,0.0275190589005568
"QML",5.33735727317247e-05,0.0139252156992935,0.465797605124727
"True Value",0.00039,0.144,0.776
